"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.589216083E0,-1.657301914E-3,1.546062291E-2,1.411289817E-1
3.599194083E0,1.592915299E-1,6.909172341E-2,7.964200079E-2
3.609171083E0,1.692627136E-1,8.415195823E-2,2.188595277E-1
3.619149083E0,3.510185882E-2,1.245334142E-1,6.017194211E-2
3.629127083E0,3.641881624E-2,1.637951285E-2,-2.748723453E-1
3.639104083E0,5.570889945E-2,6.063708812E-2,-2.104524010E-1
3.649082083E0,9.909436251E-2,1.641595562E-1,-1.751124144E-1
3.659060083E0,8.521459831E-2,1.847533035E-1,-1.682372582E-1
3.669037083E0,-3.070114839E-2,1.200294502E-1,-1.805818999E-1
3.679015083E0,-7.426370443E-2,4.080611005E-2,-1.446770722E-1
3.688992083E0,-7.142412292E-2,1.943000525E-2,-9.771632910E-2
3.698970083E0,1.024535194E-2,-3.759686574E-2,-1.034448463E-1
3.708948083E0,-2.289500129E-3,-3.734470457E-2,-2.965240002E-2
3.718925083E0,-3.996876136E-2,3.510697514E-2,1.309425473E-1
3.728903083E0,-7.746818874E-2,3.292420954E-3,1.373914415E-1
3.738880083E0,-1.765292450E-2,6.520961076E-3,3.873955786E-2
3.748858083E0,5.380140523E-2,1.126663439E-1,-1.974897087E-2
3.758836083E0,6.492842364E-2,2.214964758E-1,-2.218433619E-3
3.768813083E0,1.014904053E-1,2.020718792E-1,2.037754655E-2
3.778791083E0,8.243986608E-2,1.612489584E-1,1.341877520E-2
3.788769083E0,1.167024987E-2,9.313255057E-2,-7.438827753E-2
